page_num,image_path,recipe_score,likely,detected_signals,token_count,top_keywords_found,excerpt,features
61,data/pages/boston_recipes/0061.png,0.31408450704225355,False,"['cooking verbs', 'short lines']",71,"['small', 'and', 'roston', 'cooking-sciiool', 'cook']",,"{'units': False, 'verbs': True, 'time': False, 'temp': False, 'numeric_density': 0.014084507042253521, 'short_line_density': 0.11267605633802817, 'toc': False, 'low_conf': False, 'few_tokens': False, 'title_like': False}"
67,data/pages/boston_recipes/0067.png,0.3047846889952153,False,"['cooking verbs', 'short lines']",209,"['the', 'water', 'for', 'and', 'from']",,"{'units': False, 'verbs': True, 'time': False, 'temp': False, 'numeric_density': 0.004784688995215311, 'short_line_density': 0.12440191387559808, 'toc': False, 'low_conf': False, 'few_tokens': False, 'title_like': False}"
83,data/pages/boston_recipes/0083.png,0.3030864197530865,False,"['cooking verbs', 'short lines']",324,"['the', 'and', 'flour', 'bread', 'are']",,"{'units': False, 'verbs': True, 'time': False, 'temp': False, 'numeric_density': 0.0030864197530864196, 'short_line_density': 0.12345679012345678, 'toc': False, 'low_conf': False, 'few_tokens': False, 'title_like': False}"
81,data/pages/boston_recipes/0081.png,0.303003003003003,False,"['cooking verbs', 'short lines']",333,"['the', 'and', 'from', 'wheat', 'wheat,']",,"{'units': False, 'verbs': True, 'time': False, 'temp': False, 'numeric_density': 0.003003003003003003, 'short_line_density': 0.12312312312312312, 'toc': False, 'low_conf': False, 'few_tokens': False, 'title_like': False}"
57,data/pages/boston_recipes/0057.png,0.3026954177897574,False,"['cooking verbs', 'short lines']",371,"['and', 'the', 'pork', 'meat', 'for']",,"{'units': False, 'verbs': True, 'time': False, 'temp': False, 'numeric_density': 0.0026954177897574125, 'short_line_density': 0.12398921832884097, 'toc': False, 'low_conf': False, 'few_tokens': False, 'title_like': False}"
66,data/pages/boston_recipes/0066.png,0.25,False,"['numeric density', 'short lines']",277,"['weight', 'and', 'the', 'time', 'for']",,"{'units': False, 'verbs': False, 'time': False, 'temp': False, 'numeric_density': 0.18772563176895307, 'short_line_density': 0.12274368231046931, 'toc': False, 'low_conf': False, 'few_tokens': False, 'title_like': False}"
64,data/pages/boston_recipes/0064.png,0.25,False,"['numeric density', 'short lines']",395,"['eee', 'and', 'thick', 'bho', 'toe']",,"{'units': False, 'verbs': False, 'time': False, 'temp': False, 'numeric_density': 0.22531645569620254, 'short_line_density': 0.1240506329113924, 'toc': False, 'low_conf': False, 'few_tokens': False, 'title_like': False}"
74,data/pages/boston_recipes/0074.png,0.10704225352112677,False,['short lines'],284,"['the', 'and', 'cocoa', 'are', 'from']",,"{'units': False, 'verbs': False, 'time': False, 'temp': False, 'numeric_density': 0.007042253521126761, 'short_line_density': 0.12323943661971831, 'toc': False, 'low_conf': False, 'few_tokens': False, 'title_like': False}"
80,data/pages/boston_recipes/0080.png,0.10671140939597316,False,['short lines'],298,"['the', 'bread', 'and', 'wheat', 'for']",,"{'units': False, 'verbs': False, 'time': False, 'temp': False, 'numeric_density': 0.006711409395973154, 'short_line_density': 0.12416107382550336, 'toc': False, 'low_conf': False, 'few_tokens': False, 'title_like': False}"
62,data/pages/boston_recipes/0062.png,0.10384615384615385,False,['short lines'],260,"['and', 'are', 'examples:', 'where', 'ete.']",,"{'units': False, 'verbs': False, 'time': False, 'temp': False, 'numeric_density': 0.0038461538461538464, 'short_line_density': 0.12307692307692308, 'toc': False, 'low_conf': False, 'few_tokens': False, 'title_like': False}"
58,data/pages/boston_recipes/0058.png,0.1034013605442177,False,['short lines'],294,"['and', 'the', 'are', 'from', 'scrape']",,"{'units': False, 'verbs': False, 'time': False, 'temp': False, 'numeric_density': 0.003401360544217687, 'short_line_density': 0.12244897959183673, 'toc': False, 'low_conf': False, 'few_tokens': False, 'title_like': False}"
68,data/pages/boston_recipes/0068.png,0.10307692307692308,False,['short lines'],325,"['the', 'and', 'tea', 'from', 'less']",,"{'units': False, 'verbs': False, 'time': False, 'temp': False, 'numeric_density': 0.003076923076923077, 'short_line_density': 0.12307692307692308, 'toc': False, 'low_conf': False, 'few_tokens': False, 'title_like': False}"
84,data/pages/boston_recipes/0084.png,0.10304878048780489,False,['short lines'],328,"['and', 'the', 'bread', 'dough', 'which']",,"{'units': False, 'verbs': False, 'time': False, 'temp': False, 'numeric_density': 0.003048780487804878, 'short_line_density': 0.125, 'toc': False, 'low_conf': False, 'few_tokens': False, 'title_like': False}"
70,data/pages/boston_recipes/0070.png,0.10289017341040463,False,['short lines'],346,"['the', 'coffee', 'and', 'are', 'which']",,"{'units': False, 'verbs': False, 'time': False, 'temp': False, 'numeric_density': 0.002890173410404624, 'short_line_density': 0.12427745664739884, 'toc': False, 'low_conf': False, 'few_tokens': False, 'title_like': False}"
82,data/pages/boston_recipes/0082.png,0.1,False,['short lines'],338,"['the', 'and', 'are', 'with', 'flour']",,"{'units': False, 'verbs': False, 'time': False, 'temp': False, 'numeric_density': 0.0, 'short_line_density': 0.1242603550295858, 'toc': False, 'low_conf': False, 'few_tokens': False, 'title_like': False}"
